[INFO:2021-04-13 16:55:30,784] waiting CLOSING sell-bitbank/buy-liquid margin:-8443, close_threshold:-977
[INFO:2021-04-13 16:55:33,834] waiting CLOSING sell-bitbank/buy-liquid margin:-8250, close_threshold:-977
[INFO:2021-04-13 16:55:36,912] waiting CLOSING sell-bitbank/buy-liquid margin:-7029, close_threshold:-1631
[INFO:2021-04-13 16:55:39,962] waiting CLOSING sell-bitbank/buy-liquid margin:-7911, close_threshold:-1631
[INFO:2021-04-13 16:55:43,010] waiting CLOSING sell-bitbank/buy-liquid margin:-7632, close_threshold:-1631
[INFO:2021-04-13 16:55:46,061] waiting CLOSING sell-bitbank/buy-liquid margin:-6127, close_threshold:-1631
[INFO:2021-04-13 16:55:49,141] waiting CLOSING sell-bitbank/buy-liquid margin:-6550, close_threshold:-1631
[INFO:2021-04-13 16:55:52,179] waiting CLOSING sell-bitbank/buy-liquid margin:-5750, close_threshold:-1631
[INFO:2021-04-13 16:55:55,242] waiting CLOSING sell-bitbank/buy-liquid margin:-5596, close_threshold:-1631
[INFO:2021-04-13 16:55:58,287] waiting CLOSING sell-bitbank/buy-liquid margin:-5227, close_threshold:-1631
[INFO:2021-04-13 16:56:01,358] waiting CLOSING sell-bitbank/buy-liquid margin:-5227, close_threshold:-1631
[INFO:2021-04-13 16:56:04,402] waiting CLOSING sell-bitbank/buy-liquid margin:-5450, close_threshold:-1631
[INFO:2021-04-13 16:56:07,457] waiting CLOSING sell-bitbank/buy-liquid margin:-7551, close_threshold:-1631
[INFO:2021-04-13 16:56:10,504] waiting CLOSING sell-bitbank/buy-liquid margin:-6896, close_threshold:-1631
[INFO:2021-04-13 16:56:13,548] waiting CLOSING sell-bitbank/buy-liquid margin:-7539, close_threshold:-1631
[INFO:2021-04-13 16:56:16,693] waiting CLOSING sell-bitbank/buy-liquid margin:-7533, close_threshold:-1631
[INFO:2021-04-13 16:56:19,740] waiting CLOSING sell-bitbank/buy-liquid margin:-7532, close_threshold:-1631
[INFO:2021-04-13 16:56:22,788] waiting CLOSING sell-bitbank/buy-liquid margin:-7550, close_threshold:-1631
[INFO:2021-04-13 16:56:25,833] waiting CLOSING sell-bitbank/buy-liquid margin:-7356, close_threshold:-1631
[INFO:2021-04-13 16:56:28,902] waiting CLOSING sell-bitbank/buy-liquid margin:-7356, close_threshold:-1631
[INFO:2021-04-13 16:56:31,946] waiting CLOSING sell-bitbank/buy-liquid margin:-6129, close_threshold:-1631
[INFO:2021-04-13 16:56:35,033] waiting CLOSING sell-bitbank/buy-liquid margin:-2548, close_threshold:-1631
[INFO:2021-04-13 16:56:38,078] waiting CLOSING sell-bitbank/buy-liquid margin:-4391, close_threshold:-1631
[INFO:2021-04-13 16:56:41,151] waiting CLOSING sell-bitbank/buy-liquid margin:-5031, close_threshold:-1631
[INFO:2021-04-13 16:56:44,228] waiting CLOSING sell-bitbank/buy-liquid margin:-1835, close_threshold:-1631
[INFO:2021-04-13 16:56:47,411] waiting CLOSING sell-bitbank/buy-liquid margin:566, close_threshold:-1631
[INFO:2021-04-13 16:56:50,917] waiting OPENING sell-liquid/buy-bitbank margin:1084, open_threshold:4631
[INFO:2021-04-13 16:56:53,963] waiting OPENING sell-liquid/buy-bitbank margin:1108, open_threshold:4631
[INFO:2021-04-13 16:56:57,005] waiting OPENING sell-liquid/buy-bitbank margin:448, open_threshold:4631
[INFO:2021-04-13 16:57:00,052] waiting OPENING sell-liquid/buy-bitbank margin:399, open_threshold:4631
[INFO:2021-04-13 16:57:03,107] waiting OPENING sell-bitbank/buy-liquid margin:890, open_threshold:4631
[INFO:2021-04-13 16:57:06,163] waiting OPENING sell-liquid/buy-bitbank margin:3010, open_threshold:4631
[INFO:2021-04-13 16:57:09,208] waiting OPENING sell-liquid/buy-bitbank margin:3054, open_threshold:4631
