[INFO:2020-03-25 16:49:48,302] waiting OPENING sell-liquid/buy-coincheck margin:-268, open_threshold:2000
[INFO:2020-03-25 16:49:49,361] waiting OPENING sell-liquid/buy-coincheck margin:-268, open_threshold:2000
[INFO:2020-03-25 16:49:50,409] waiting OPENING sell-liquid/buy-coincheck margin:-111, open_threshold:2000
[INFO:2020-03-25 16:49:51,485] waiting OPENING sell-liquid/buy-coincheck margin:-111, open_threshold:2000
[INFO:2020-03-25 16:49:52,554] waiting OPENING sell-liquid/buy-coincheck margin:228, open_threshold:2000
[INFO:2020-03-25 16:49:53,610] waiting OPENING sell-liquid/buy-coincheck margin:228, open_threshold:2000
[INFO:2020-03-25 16:49:54,684] waiting OPENING sell-liquid/buy-coincheck margin:-133, open_threshold:2000
[INFO:2020-03-25 16:49:55,750] waiting OPENING sell-coincheck/buy-liquid margin:64, open_threshold:2000
[INFO:2020-03-25 16:49:56,808] waiting OPENING sell-coincheck/buy-liquid margin:177, open_threshold:2000
[INFO:2020-03-25 16:49:57,873] waiting OPENING sell-coincheck/buy-liquid margin:177, open_threshold:2000
[INFO:2020-03-25 16:49:58,933] waiting OPENING sell-coincheck/buy-liquid margin:412, open_threshold:2000
[INFO:2020-03-25 16:49:59,991] waiting OPENING sell-coincheck/buy-liquid margin:412, open_threshold:2000
[INFO:2020-03-25 16:50:01,040] waiting OPENING sell-coincheck/buy-liquid margin:422, open_threshold:2000
[INFO:2020-03-25 16:50:02,112] waiting OPENING sell-coincheck/buy-liquid margin:422, open_threshold:2000
[INFO:2020-03-25 16:50:03,166] waiting OPENING sell-coincheck/buy-liquid margin:564, open_threshold:2000
[INFO:2020-03-25 16:50:04,216] waiting OPENING sell-coincheck/buy-liquid margin:564, open_threshold:2000
[INFO:2020-03-25 16:50:05,277] waiting OPENING sell-coincheck/buy-liquid margin:566, open_threshold:2000
[INFO:2020-03-25 16:50:06,323] waiting OPENING sell-coincheck/buy-liquid margin:-54, open_threshold:2000
[INFO:2020-03-25 16:50:07,363] waiting OPENING sell-coincheck/buy-liquid margin:-51, open_threshold:2000
[INFO:2020-03-25 16:50:08,425] waiting OPENING sell-coincheck/buy-liquid margin:-51, open_threshold:2000
[INFO:2020-03-25 16:50:09,506] waiting OPENING sell-coincheck/buy-liquid margin:-49, open_threshold:2000
[INFO:2020-03-25 16:50:10,580] waiting OPENING sell-coincheck/buy-liquid margin:-49, open_threshold:2000
[INFO:2020-03-25 16:50:11,636] waiting OPENING sell-coincheck/buy-liquid margin:-46, open_threshold:2000
[INFO:2020-03-25 16:50:12,698] waiting OPENING sell-coincheck/buy-liquid margin:-46, open_threshold:2000
[INFO:2020-03-25 16:50:13,743] waiting OPENING sell-coincheck/buy-liquid margin:-89, open_threshold:2000
[INFO:2020-03-25 16:50:14,803] waiting OPENING sell-coincheck/buy-liquid margin:-89, open_threshold:2000
[INFO:2020-03-25 16:50:15,873] waiting OPENING sell-coincheck/buy-liquid margin:-89, open_threshold:2000
[INFO:2020-03-25 16:50:16,935] waiting OPENING sell-coincheck/buy-liquid margin:-89, open_threshold:2000
[INFO:2020-03-25 16:50:17,988] waiting OPENING sell-coincheck/buy-liquid margin:-89, open_threshold:2000
[INFO:2020-03-25 16:50:19,040] waiting OPENING sell-coincheck/buy-liquid margin:24, open_threshold:2000
[INFO:2020-03-25 16:50:20,149] waiting OPENING sell-coincheck/buy-liquid margin:24, open_threshold:2000
[INFO:2020-03-25 16:50:21,190] waiting OPENING sell-coincheck/buy-liquid margin:24, open_threshold:2000
[INFO:2020-03-25 16:50:22,255] waiting OPENING sell-coincheck/buy-liquid margin:36, open_threshold:2000
[INFO:2020-03-25 16:50:23,361] waiting OPENING sell-coincheck/buy-liquid margin:36, open_threshold:2000
[INFO:2020-03-25 16:50:24,432] waiting OPENING sell-coincheck/buy-liquid margin:24, open_threshold:2000
[INFO:2020-03-25 16:50:25,500] waiting OPENING sell-coincheck/buy-liquid margin:24, open_threshold:2000
[INFO:2020-03-25 16:50:26,554] waiting OPENING sell-coincheck/buy-liquid margin:24, open_threshold:2000
[INFO:2020-03-25 16:50:27,620] waiting OPENING sell-coincheck/buy-liquid margin:24, open_threshold:2000
[INFO:2020-03-25 16:50:28,670] waiting OPENING sell-coincheck/buy-liquid margin:96, open_threshold:2000
