[INFO:2020-05-07 07:06:22,995] tick bid=988900 ask=988944 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:23,666] tick bid=988849 ask=988831 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:23,666] tick bid=988901 ask=988944 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:24,160] tick bid=988849 ask=988831 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:24,160] tick bid=988901 ask=988944 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:24,420] tick bid=988851 ask=988914 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:24,420] tick bid=988939 ask=988944 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:24,675] tick bid=988851 ask=989116 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:24,675] tick bid=988947 ask=989240 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:25,023] tick bid=988851 ask=988880 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:25,024] tick bid=989000 ask=989240 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:25,308] tick bid=988880 ask=989068 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:25,308] tick bid=989001 ask=989240 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:26,739] tick bid=988880 ask=989068 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:26,739] tick bid=989006 ask=989240 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:27,015] tick bid=989068 ask=989116 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:27,015] tick bid=989006 ask=989240 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:27,303] tick bid=989185 ask=989373 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:27,321] tick bid=989006 ask=989240 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:27,607] tick bid=989200 ask=989417 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:27,608] tick bid=989006 ask=989240 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:27,879] tick bid=989417 ask=989325 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:27,886] tick bid=989006 ask=989028 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:28,161] tick bid=989417 ask=989465 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:28,166] tick bid=989006 ask=989028 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:28,428] tick bid=989417 ask=989465 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:28,428] tick bid=989006 ask=989028 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:28,933] tick bid=989417 ask=989465 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:28,933] tick bid=989006 ask=989028 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:29,191] tick bid=989417 ask=989465 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:29,191] tick bid=989006 ask=989028 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:29,815] tick bid=989417 ask=989493 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:29,821] tick bid=989006 ask=989028 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:31,037] tick bid=989417 ask=989568 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:31,038] tick bid=989006 ask=989028 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:31,327] tick bid=989417 ask=989494 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:31,327] tick bid=989006 ask=989050 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:31,701] tick bid=989417 ask=989595 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:31,707] tick bid=988692 ask=989052 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:31,976] tick bid=989585 ask=989749 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:31,976] tick bid=988728 ask=989044 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:32,244] tick bid=989585 ask=989749 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:32,244] tick bid=988728 ask=989044 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:32,530] tick bid=989311 ask=989345 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:32,530] tick bid=988728 ask=989039 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:32,787] tick bid=989311 ask=989345 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:32,787] tick bid=988729 ask=989044 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:33,084] tick bid=989175 ask=989316 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:33,089] tick bid=988729 ask=989044 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:33,349] tick bid=989181 ask=989316 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:33,350] tick bid=988729 ask=989039 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:33,629] tick bid=989224 ask=989316 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:33,635] tick bid=988734 ask=989039 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:33,903] tick bid=989224 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:33,909] tick bid=988735 ask=989038 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:34,174] tick bid=989224 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:34,176] tick bid=988735 ask=989038 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:34,485] tick bid=989054 ask=989147 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:34,485] tick bid=988740 ask=989038 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:34,765] tick bid=989054 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:34,772] tick bid=988740 ask=989033 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:35,038] tick bid=989051 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:35,044] tick bid=988740 ask=989033 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:35,329] tick bid=989050 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:35,329] tick bid=988735 ask=989033 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:35,591] tick bid=989061 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:35,597] tick bid=988741 ask=989033 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:36,123] tick bid=989061 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:36,123] tick bid=988741 ask=989033 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:36,655] tick bid=989061 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:36,655] tick bid=988746 ask=989032 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:36,928] tick bid=989061 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:36,928] tick bid=988767 ask=989027 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:37,197] tick bid=989061 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:37,203] tick bid=988767 ask=989027 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:37,469] tick bid=989054 ask=989149 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:37,469] tick bid=988767 ask=989032 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:37,751] tick bid=989001 ask=988962 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:37,751] tick bid=988767 ask=989027 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:38,023] tick bid=989012 ask=988962 (liquid:BTC/JPY)
[INFO:2020-05-07 07:06:38,029] tick bid=988767 ask=989027 (coincheck:BTC/JPY)
[INFO:2020-05-07 07:06:38,474] tick bid=989060 ask=988962 (liquid:BTC/JPY)
