[INFO:2020-03-25 03:40:13,971] waiting OPENING sell-coincheck/buy-liquid margin:-203, open_threshold:2000
[INFO:2020-03-25 03:40:15,018] waiting OPENING sell-coincheck/buy-liquid margin:-159, open_threshold:2000
[INFO:2020-03-25 03:40:16,068] waiting OPENING sell-coincheck/buy-liquid margin:-159, open_threshold:2000
[INFO:2020-03-25 03:40:17,128] waiting OPENING sell-coincheck/buy-liquid margin:-125, open_threshold:2000
[INFO:2020-03-25 03:40:18,196] waiting OPENING sell-coincheck/buy-liquid margin:-125, open_threshold:2000
[INFO:2020-03-25 03:40:19,248] waiting OPENING sell-coincheck/buy-liquid margin:-123, open_threshold:2000
[INFO:2020-03-25 03:40:20,302] waiting OPENING sell-coincheck/buy-liquid margin:-123, open_threshold:2000
[INFO:2020-03-25 03:40:21,362] waiting OPENING sell-liquid/buy-coincheck margin:-61, open_threshold:2000
[INFO:2020-03-25 03:40:22,409] waiting OPENING sell-liquid/buy-coincheck margin:-61, open_threshold:2000
[INFO:2020-03-25 03:40:23,462] waiting OPENING sell-liquid/buy-coincheck margin:-205, open_threshold:2000
[INFO:2020-03-25 03:40:24,520] waiting OPENING sell-liquid/buy-coincheck margin:-205, open_threshold:2000
[INFO:2020-03-25 03:40:25,571] waiting OPENING sell-liquid/buy-coincheck margin:-192, open_threshold:2000
[INFO:2020-03-25 03:40:26,622] waiting OPENING sell-liquid/buy-coincheck margin:-192, open_threshold:2000
[INFO:2020-03-25 03:40:27,674] waiting OPENING sell-liquid/buy-coincheck margin:-142, open_threshold:2000
[INFO:2020-03-25 03:40:28,731] waiting OPENING sell-coincheck/buy-liquid margin:-589, open_threshold:2000
[INFO:2020-03-25 03:40:29,784] waiting OPENING sell-coincheck/buy-liquid margin:-568, open_threshold:2000
[INFO:2020-03-25 03:40:30,840] waiting OPENING sell-coincheck/buy-liquid margin:-568, open_threshold:2000
[INFO:2020-03-25 03:40:31,882] waiting OPENING sell-coincheck/buy-liquid margin:-537, open_threshold:2000
[INFO:2020-03-25 03:40:32,927] waiting OPENING sell-coincheck/buy-liquid margin:-537, open_threshold:2000
[INFO:2020-03-25 03:40:33,982] waiting OPENING sell-coincheck/buy-liquid margin:-44, open_threshold:2000
[INFO:2020-03-25 03:40:35,049] waiting OPENING sell-coincheck/buy-liquid margin:-44, open_threshold:2000
[INFO:2020-03-25 03:40:36,124] waiting OPENING sell-coincheck/buy-liquid margin:50, open_threshold:2000
[INFO:2020-03-25 03:40:37,179] waiting OPENING sell-coincheck/buy-liquid margin:50, open_threshold:2000
[INFO:2020-03-25 03:40:38,227] waiting OPENING sell-coincheck/buy-liquid margin:76, open_threshold:2000
[INFO:2020-03-25 03:40:39,292] waiting OPENING sell-coincheck/buy-liquid margin:97, open_threshold:2000
[INFO:2020-03-25 03:40:40,335] waiting OPENING sell-liquid/buy-coincheck margin:-75, open_threshold:2000
[INFO:2020-03-25 03:40:41,409] waiting OPENING sell-liquid/buy-coincheck margin:-75, open_threshold:2000
[INFO:2020-03-25 03:40:42,458] waiting OPENING sell-liquid/buy-coincheck margin:-75, open_threshold:2000
[INFO:2020-03-25 03:40:43,568] waiting OPENING sell-liquid/buy-coincheck margin:-47, open_threshold:2000
[INFO:2020-03-25 03:40:44,624] waiting OPENING sell-liquid/buy-coincheck margin:11, open_threshold:2000
[INFO:2020-03-25 03:40:45,716] waiting OPENING sell-liquid/buy-coincheck margin:-47, open_threshold:2000
[INFO:2020-03-25 03:40:46,764] waiting OPENING sell-liquid/buy-coincheck margin:-47, open_threshold:2000
[INFO:2020-03-25 03:40:47,824] waiting OPENING sell-coincheck/buy-liquid margin:-270, open_threshold:2000
[INFO:2020-03-25 03:40:48,864] waiting OPENING sell-liquid/buy-coincheck margin:-260, open_threshold:2000
[INFO:2020-03-25 03:40:49,922] waiting OPENING sell-liquid/buy-coincheck margin:-163, open_threshold:2000
[INFO:2020-03-25 03:40:50,964] waiting OPENING sell-liquid/buy-coincheck margin:-163, open_threshold:2000
[INFO:2020-03-25 03:40:52,020] waiting OPENING sell-liquid/buy-coincheck margin:-158, open_threshold:2000
[INFO:2020-03-25 03:40:53,081] waiting OPENING sell-liquid/buy-coincheck margin:-158, open_threshold:2000
[INFO:2020-03-25 03:40:54,142] waiting OPENING sell-liquid/buy-coincheck margin:-223, open_threshold:2000
[INFO:2020-03-25 03:40:55,205] waiting OPENING sell-liquid/buy-coincheck margin:-223, open_threshold:2000
[INFO:2020-03-25 03:40:56,260] waiting OPENING sell-coincheck/buy-liquid margin:-223, open_threshold:2000
[INFO:2020-03-25 03:40:57,307] waiting OPENING sell-coincheck/buy-liquid margin:-223, open_threshold:2000
[INFO:2020-03-25 03:40:58,358] waiting OPENING sell-liquid/buy-coincheck margin:-290, open_threshold:2000
[INFO:2020-03-25 03:40:59,428] waiting OPENING sell-liquid/buy-coincheck margin:-290, open_threshold:2000
[INFO:2020-03-25 03:41:00,491] waiting OPENING sell-liquid/buy-coincheck margin:-340, open_threshold:2000
[INFO:2020-03-25 03:41:01,542] waiting OPENING sell-liquid/buy-coincheck margin:-340, open_threshold:2000
[INFO:2020-03-25 03:41:02,596] waiting OPENING sell-liquid/buy-coincheck margin:-339, open_threshold:2000
[INFO:2020-03-25 03:41:03,636] waiting OPENING sell-liquid/buy-coincheck margin:-339, open_threshold:2000
[INFO:2020-03-25 03:41:04,697] waiting OPENING sell-coincheck/buy-liquid margin:-278, open_threshold:2000
[INFO:2020-03-25 03:41:05,754] waiting OPENING sell-coincheck/buy-liquid margin:-278, open_threshold:2000
[INFO:2020-03-25 03:41:06,815] waiting OPENING sell-coincheck/buy-liquid margin:-252, open_threshold:2000
[INFO:2020-03-25 03:41:07,868] waiting OPENING sell-coincheck/buy-liquid margin:-252, open_threshold:2000
[INFO:2020-03-25 03:41:08,915] waiting OPENING sell-liquid/buy-coincheck margin:-337, open_threshold:2000
[INFO:2020-03-25 03:41:09,959] waiting OPENING sell-liquid/buy-coincheck margin:-337, open_threshold:2000
[INFO:2020-03-25 03:41:11,001] waiting OPENING sell-coincheck/buy-liquid margin:-420, open_threshold:2000
[INFO:2020-03-25 03:41:12,045] waiting OPENING sell-coincheck/buy-liquid margin:-420, open_threshold:2000
[INFO:2020-03-25 03:41:13,105] waiting OPENING sell-coincheck/buy-liquid margin:-445, open_threshold:2000
[INFO:2020-03-25 03:41:14,163] waiting OPENING sell-coincheck/buy-liquid margin:-445, open_threshold:2000
[INFO:2020-03-25 03:41:15,234] waiting OPENING sell-coincheck/buy-liquid margin:414, open_threshold:2000
[INFO:2020-03-25 03:41:16,294] waiting OPENING sell-coincheck/buy-liquid margin:414, open_threshold:2000
[INFO:2020-03-25 03:41:17,346] waiting OPENING sell-coincheck/buy-liquid margin:381, open_threshold:2000
[INFO:2020-03-25 03:41:18,397] waiting OPENING sell-liquid/buy-coincheck margin:52, open_threshold:2000
[INFO:2020-03-25 03:41:19,472] waiting OPENING sell-liquid/buy-coincheck margin:102, open_threshold:2000
