[INFO:2020-03-25 10:40:07,278] waiting OPENING sell-coincheck/buy-liquid margin:-82, open_threshold:2000
[INFO:2020-03-25 10:40:08,340] waiting OPENING sell-coincheck/buy-liquid margin:-82, open_threshold:2000
[INFO:2020-03-25 10:40:09,394] waiting OPENING sell-coincheck/buy-liquid margin:-82, open_threshold:2000
[INFO:2020-03-25 10:40:10,435] waiting OPENING sell-coincheck/buy-liquid margin:-82, open_threshold:2000
[INFO:2020-03-25 10:40:11,502] waiting OPENING sell-coincheck/buy-liquid margin:-82, open_threshold:2000
[INFO:2020-03-25 10:40:12,564] waiting OPENING sell-coincheck/buy-liquid margin:-82, open_threshold:2000
[INFO:2020-03-25 10:40:13,620] waiting OPENING sell-coincheck/buy-liquid margin:-125, open_threshold:2000
[INFO:2020-03-25 10:40:14,682] waiting OPENING sell-coincheck/buy-liquid margin:-125, open_threshold:2000
[INFO:2020-03-25 10:40:15,731] waiting OPENING sell-coincheck/buy-liquid margin:-130, open_threshold:2000
[INFO:2020-03-25 10:40:16,831] waiting OPENING sell-coincheck/buy-liquid margin:-130, open_threshold:2000
[INFO:2020-03-25 10:40:17,888] waiting OPENING sell-coincheck/buy-liquid margin:-82, open_threshold:2000
[INFO:2020-03-25 10:40:18,943] waiting OPENING sell-coincheck/buy-liquid margin:-82, open_threshold:2000
[INFO:2020-03-25 10:40:20,011] waiting OPENING sell-coincheck/buy-liquid margin:-209, open_threshold:2000
[INFO:2020-03-25 10:40:21,066] waiting OPENING sell-coincheck/buy-liquid margin:-209, open_threshold:2000
[INFO:2020-03-25 10:40:22,116] waiting OPENING sell-liquid/buy-coincheck margin:-170, open_threshold:2000
[INFO:2020-03-25 10:40:23,180] waiting OPENING sell-liquid/buy-coincheck margin:-170, open_threshold:2000
[INFO:2020-03-25 10:40:24,235] waiting OPENING sell-liquid/buy-coincheck margin:-165, open_threshold:2000
[INFO:2020-03-25 10:40:25,276] waiting OPENING sell-liquid/buy-coincheck margin:-165, open_threshold:2000
[INFO:2020-03-25 10:40:26,317] waiting OPENING sell-liquid/buy-coincheck margin:260, open_threshold:2000
[INFO:2020-03-25 10:40:27,368] waiting OPENING sell-liquid/buy-coincheck margin:260, open_threshold:2000
[INFO:2020-03-25 10:40:28,413] waiting OPENING sell-liquid/buy-coincheck margin:103, open_threshold:2000
[INFO:2020-03-25 10:40:29,467] waiting OPENING sell-coincheck/buy-liquid margin:-291, open_threshold:2000
[INFO:2020-03-25 10:40:30,550] waiting OPENING sell-coincheck/buy-liquid margin:-257, open_threshold:2000
[INFO:2020-03-25 10:40:31,611] waiting OPENING sell-coincheck/buy-liquid margin:-257, open_threshold:2000
[INFO:2020-03-25 10:40:32,671] waiting OPENING sell-coincheck/buy-liquid margin:-291, open_threshold:2000
[INFO:2020-03-25 10:40:33,723] waiting OPENING sell-coincheck/buy-liquid margin:-291, open_threshold:2000
[INFO:2020-03-25 10:40:34,765] waiting OPENING sell-liquid/buy-coincheck margin:-102, open_threshold:2000
[INFO:2020-03-25 10:40:35,812] waiting OPENING sell-liquid/buy-coincheck margin:-102, open_threshold:2000
[INFO:2020-03-25 10:40:36,870] waiting OPENING sell-liquid/buy-coincheck margin:-65, open_threshold:2000
[INFO:2020-03-25 10:40:37,908] waiting OPENING sell-coincheck/buy-liquid margin:66, open_threshold:2000
[INFO:2020-03-25 10:40:38,947] waiting OPENING sell-coincheck/buy-liquid margin:116, open_threshold:2000
[INFO:2020-03-25 10:40:40,089] waiting OPENING sell-coincheck/buy-liquid margin:116, open_threshold:2000
[INFO:2020-03-25 10:40:41,152] waiting OPENING sell-coincheck/buy-liquid margin:116, open_threshold:2000
[INFO:2020-03-25 10:40:42,195] waiting OPENING sell-coincheck/buy-liquid margin:116, open_threshold:2000
[INFO:2020-03-25 10:40:43,238] waiting OPENING sell-coincheck/buy-liquid margin:116, open_threshold:2000
[INFO:2020-03-25 10:40:44,293] waiting OPENING sell-coincheck/buy-liquid margin:116, open_threshold:2000
[INFO:2020-03-25 10:40:45,348] waiting OPENING sell-coincheck/buy-liquid margin:379, open_threshold:2000
[INFO:2020-03-25 10:40:46,404] waiting OPENING sell-coincheck/buy-liquid margin:379, open_threshold:2000
[INFO:2020-03-25 10:40:47,471] waiting OPENING sell-coincheck/buy-liquid margin:-347, open_threshold:2000
[INFO:2020-03-25 10:40:48,515] waiting OPENING sell-coincheck/buy-liquid margin:-347, open_threshold:2000
